,Hora_Salida,Destino,Origen,Hora_Llegada,Desde,Lat,Lon
171,22:00,CUN,MEX,14:20,9876,21.040357999999998,-86.873455
172,22:00,DEN,MEX,15:14,4599,39.856121,-104.673641
173,22:00,JFK,MEX,14:30,9388,40.641234999999995,-73.778263
174,22:00,LAS,MEX,14:13,4373,36.084026,-115.15388899999999
175,22:00,LAX,MEX,10:15,6412,33.941562,-118.40841200000001
176,22:00,MIA,MEX,15:59,9756,25.795814,-80.28716899999999
177,22:00,ORD,MEX,15:00,9490,41.974166,-87.9073
178,22:00,SFO,MEX,10:50,9379,37.621313,-122.37898799999999
179,23:30,MUC,MEX,19:15,26147,48.353598,11.775135
180,23:55,BCN,MEX,22:55,37807,41.297781,2.08353
181,23:55,YYZ,MEX,05:55,4893,43.677764,-79.62495899999999
182,04:50,BCN, MEX,12:50,21084,41.297781,2.08353
183,04:50,DEN, MEX,16:49,19231,39.856121,-104.673641
184,04:50,HAV, MEX,12:00,15680,22.991455,-82.410321
185,04:50,JFK, MEX,01:30,7508,40.641234999999995,-73.778263
186,04:50,LAS, MEX,15:50,20132,36.084026,-115.15388899999999
187,04:50,LAX, MEX,11:10,11138,33.941562,-118.40841200000001
188,04:50,MIA, MEX,11:40,10524,25.795814,-80.28716899999999
189,04:50,MUC, MEX,16:32,10420,48.353598,11.775135
190,04:50,SFO, MEX,00:15,7850,37.621313,-122.37898799999999
191,04:50,YUL, MEX,17:15,20784,45.46561,-73.745299
192,04:50,YYZ, MEX,13:50,11996,43.677764,-79.62495899999999
193,05:00,BCN, MEX,09:15,20265,41.297781,2.08353
194,05:00,JFK, MEX,01:30,25392,40.641234999999995,-73.778263
195,05:00,MAD, MEX,05:00,19754,40.498324,-3.5674690000000004
196,05:00,MIA, MEX,00:30,16173,25.795814,-80.28716899999999
197,05:00,MUC, MEX,11:25,18238,48.353598,11.775135
198,08:20,BCN, MEX,12:50,29209,41.297781,2.08353
199,08:20,MAD, MEX,10:50,28902,40.498324,-3.5674690000000004
200,08:20,MUC, MEX,17:25,29497,48.353598,11.775135
201,08:35,BCN, MEX,12:50,21554,41.297781,2.08353
202,08:35,LAS, MEX,21:57,26192,36.084026,-115.15388899999999
203,08:35,MAD, MEX,12:25,20839,40.498324,-3.5674690000000004
204,08:35,SFO, MEX,00:15,15355,37.621313,-122.37898799999999
205,10:05,BCN, MEX,12:50,21084,41.297781,2.08353
206,10:05,DEN, MEX,10:01,19231,39.856121,-104.673641
207,10:05,LAS, MEX,21:57,20132,36.084026,-115.15388899999999
208,10:05,LAX, MEX,18:25,11138,33.941562,-118.40841200000001
209,10:05,MAD, MEX,12:25,20572,40.498324,-3.5674690000000004
210,10:05,SFO, MEX,00:15,10790,37.621313,-122.37898799999999
211,13:40,MUC, MEX,16:32,32074,48.353598,11.775135
212,13:50,BCN, MEX,12:50,20265,41.297781,2.08353
213,13:50,JFK, MEX,02:50,25690,40.641234999999995,-73.778263
214,13:50,MAD, MEX,12:25,19754,40.498324,-3.5674690000000004
215,13:50,MIA, MEX,00:30,12837,25.795814,-80.28716899999999
216,13:50,MUC, MEX,16:32,12282,48.353598,11.775135
217,13:50,YJB, MEX,18:40,20265,41.3789,2.14
218,13:50,YYZ, MEX,13:50,36496,43.677764,-79.62495899999999
219,16:45,LAX, MEX,11:10,23286,33.941562,-118.40841200000001
220,16:45,YYZ, MEX,13:50,21442,43.677764,-79.62495899999999
221,16:50,DEN, MEX,10:12,23919,39.856121,-104.673641
222,16:50,JFK, MEX,01:30,8191,40.641234999999995,-73.778263
223,16:50,LAX, MEX,11:10,14748,33.941562,-118.40841200000001
224,16:50,MCO, MEX,12:20,23235,28.431205,-81.308008
225,16:50,MIA, MEX,11:40,12292,25.795814,-80.28716899999999
226,16:50,MUC, MEX,16:32,18573,48.353598,11.775135
227,16:50,SFO, MEX,00:15,12837,37.621313,-122.37898799999999
228,16:50,YUL, MEX,16:45,24311,45.46561,-73.745299
229,16:50,YYZ, MEX,13:50,14890,43.677764,-79.62495899999999
230,18:30,HAV, MEX,11:45,15925,22.991455,-82.410321
231,18:30,MCO, MEX,12:20,19406,28.431205,-81.308008
232,18:30,ORD, MEX,18:42,21749,41.974166,-87.9073
233,21:40,CUN, MEX,11:25,17893,21.040357999999998,-86.873455
234,21:40,LAX, MEX,11:10,20645,33.941562,-118.40841200000001
235,21:40,YYZ, MEX,13:50,26067,43.677764,-79.62495899999999
236,23:20,HAV, MEX,15:45,14697,22.991455,-82.410321
237,23:20,JFK, MEX,11:50,29354,40.641234999999995,-73.778263
238,23:20,MAD, MEX,05:00,19754,40.498324,-3.5674690000000004
239,23:20,MCO, MEX,12:20,23235,28.431205,-81.308008
240,23:20,MIA, MEX,10:30,21159,25.795814,-80.28716899999999
241,23:20,ORD, MEX,18:42,33600,41.974166,-87.9073
242,23:55,HAV, MEX,15:45,15496,22.991455,-82.410321
243,05:40,DEN,MEX,11:21,234,39.856121,-104.673641
244,05:40,EWR,MEX,14:50,402,40.689588,-74.17443
245,05:40,LAS,MEX,11:19,249,36.084026,-115.15388899999999
246,05:40,LAX,MEX,11:30,332,33.941562,-118.40841200000001
247,05:40,LGA,MEX,16:47,402,40.777065,-73.873987
248,05:40,MAD,MEX,12:45,3254,40.498324,-3.5674690000000004
249,05:40,MCO,MEX,12:50,143,28.431205,-81.308008
250,05:40,MIA,MEX,12:59,345,25.795814,-80.28716899999999
251,05:40,MUC,MEX,07:40,3099,48.353598,11.775135
252,05:40,SFO,MEX,12:05,483,37.621313,-122.37898799999999
253,05:40,YUL,MEX,16:35,219,45.46561,-73.745299
254,05:40,YYZ,MEX,16:22,285,43.677764,-79.62495899999999
255,06:05,DEN,MEX,14:28,234,39.856121,-104.673641
256,06:05,EWR,MEX,19:40,1265,40.689588,-74.17443
257,06:05,LAS,MEX,14:42,374,36.084026,-115.15388899999999
258,06:05,LAX,MEX,12:24,332,33.941562,-118.40841200000001
259,06:05,MAD,MEX,14:35,3838,40.498324,-3.5674690000000004
260,06:05,SFO,MEX,09:05,477,37.621313,-122.37898799999999
261,06:05,YYZ,MEX,19:45,1420,43.677764,-79.62495899999999
262,06:35,MUC,MEX,09:45,3099,48.353598,11.775135
263,07:50,DEN,MEX,13:26,255,39.856121,-104.673641
264,07:50,EWR,MEX,19:10,402,40.689588,-74.17443
265,07:50,LAS,MEX,15:50,249,36.084026,-115.15388899999999
266,07:50,LAX,MEX,13:40,332,33.941562,-118.40841200000001
267,07:50,LGA,MEX,16:47,402,40.777065,-73.873987
268,07:50,MAD,MEX,12:45,3254,40.498324,-3.5674690000000004
269,07:50,MCO,MEX,15:18,143,28.431205,-81.308008
270,07:50,MIA,MEX,22:06,1504,25.795814,-80.28716899999999
271,07:50,MUC,MEX,09:45,3099,48.353598,11.775135
272,07:50,SFO,MEX,14:30,483,37.621313,-122.37898799999999
273,08:10,DEN,MEX,16:08,1196,39.856121,-104.673641
274,08:10,EWR,MEX,17:45,1200,40.689588,-74.17443
275,08:10,LAS,MEX,21:52,1228,36.084026,-115.15388899999999
276,08:10,LAX,MEX,20:25,1234,33.941562,-118.40841200000001
277,08:10,LGA,MEX,19:14,402,40.777065,-73.873987
278,08:10,MCO,MEX,21:53,340,28.431205,-81.308008
279,08:10,MIA,MEX,23:59,1246,25.795814,-80.28716899999999
280,08:10,SFO,MEX,18:28,1321,37.621313,-122.37898799999999
281,08:10,YUL,MEX,18:02,570,45.46561,-73.745299
282,08:10,YYZ,MEX,20:37,337,43.677764,-79.62495899999999
283,09:05,DEN,MEX,19:26,1783,39.856121,-104.673641
284,09:05,EWR,MEX,14:50,396,40.689588,-74.17443
285,09:05,MCO,MEX,22:28,1681,28.431205,-81.308008
